name,url,upwork
Microsoft,https://ar.linkedin.com/company/microsoft?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Unilever,https://ar.linkedin.com/company/unilever?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
IBM,https://ar.linkedin.com/company/ibm?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Deloitte,https://ar.linkedin.com/company/deloitte?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Nestlé,https://ar.linkedin.com/company/nestle-s-a-?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Google,https://ar.linkedin.com/company/google?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Accenture,https://ar.linkedin.com/company/accenture?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Oracle,https://ar.linkedin.com/company/oracle?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
EY,https://ar.linkedin.com/company/ernstandyoung?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Adecco,https://ar.linkedin.com/company/adecco?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Procter & Gamble,https://ar.linkedin.com/company/procter-and-gamble?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Cognizant,https://ar.linkedin.com/company/cognizant?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
The Coca-Cola Company,https://ar.linkedin.com/company/the-coca-cola-company?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Siemens,https://ar.linkedin.com/company/siemens?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Capgemini,https://ar.linkedin.com/company/capgemini?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Nu,https://ar.linkedin.com/company/nubank?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Huawei,https://ar.linkedin.com/company/huawei?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Samsung Electronics,https://ar.linkedin.com/company/samsung-electronics?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Boston Consulting Group (BCG),https://ar.linkedin.com/company/boston-consulting-group?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
J.P. Morgan,https://ar.linkedin.com/company/jpmorgan?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
KPMG,https://ar.linkedin.com/company/kpmg?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
GSK,https://ar.linkedin.com/company/gsk?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
HSBC,https://ar.linkedin.com/company/hsbc?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Novartis,https://ar.linkedin.com/company/novartis?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Michael Page,https://ar.linkedin.com/company/michael-page?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
LinkedIn Noticias América Latina,https://ar.linkedin.com/showcase/linkedin-noticias-america-latina/?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
General Motors,https://ar.linkedin.com/company/general-motors?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Danone,https://ar.linkedin.com/company/danone?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
LHH,https://ar.linkedin.com/company/lhhworldwide?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
ManpowerGroup,https://ar.linkedin.com/company/manpowergroup?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
